latitude,longitude,depth,mag 
50.1109,8.68213,2.260835387877382,102
45.5017,-73.5673,-0.4256341555997666,15
40.8302,-74.1299,-0.17860247344094837,23
40.8302,-74.1299,-0.20948143371080064,22
43.6472,-79.3816,0.0375502484480176,30
40.8302,-74.1299,-0.14772351317109608,24
45.5017,-73.5673,-0.3947551953299143,16
40.8302,-74.1299,-0.17860247344094837,23
43.6446,-79.3842,-0.5182710364093235,12
40.4642,-80.6009,-0.580028956949028,10
40.8054,-74.0241,-0.14772351317109608,24
43.6655,-79.4378,0.191945049797279,35
43.652,-79.3633,-0.580028956949028,10
43.6532,-79.3832,0.5316136127656541,46
40.8054,-74.0241,-0.20948143371080064,22
45.5017,-73.5673,-0.4256341555997666,15
43.652,-79.3633,-0.6109079172188803,9
43.652,-79.3633,-0.6109079172188803,9
43.8092,-79.3427,-0.6109079172188803,9
43.6555,-79.3626,-0.6109079172188803,9
40.8054,-74.0241,-0.17860247344094837,23
43.6509,-79.362,-0.580028956949028,10
43.6446,-79.3842,-0.4256341555997666,15
43.6655,-79.4204,-0.33299727479020974,18
43.6414,-79.3772,-0.5491499966791757,11
40.8302,-74.1299,-0.20948143371080064,22
43.6449,-79.3843,-0.024207672091686967,28
40.8054,-74.0241,-0.024207672091686967,28
43.652,-79.3633,-0.5491499966791757,11
43.821,-79.3436,-0.6109079172188803,9
43.5637,-79.7202,-0.3947551953299143,16
45.5017,-73.5673,-0.3947551953299143,16
39.0438,-77.4874,1.6741351427501885,83
12.8498,77.6545,7.10883215024419,259
43.652,-79.3633,-0.6109079172188803,9
50.1109,8.68213,2.168198507067825,99
43.6509,-79.362,-0.6109079172188803,9
40.8054,-74.0241,-0.1168445529012438,25
43.2783,-79.8344,-0.24036039398065293,21
43.6449,-79.3843,-0.3947551953299143,16
43.6383,-79.4301,-0.5491499966791757,11
40.7128,-74.0059,-0.36387623506006206,17
49.2672,-122.738,-0.580028956949028,10
43.623,-79.3936,2.8784145932744276,122
43.6033,-79.538,-0.3947551953299143,16
43.623,-79.3936,2.940172513814132,124
40.8054,-74.0241,-0.17860247344094837,23
43.652,-79.3633,-0.580028956949028,10
43.6302,-79.6786,-0.3021183145203575,19
43.6532,-79.3832,-0.33299727479020974,18
43.8092,-79.3427,-0.6109079172188803,9
43.623,-79.3936,2.724019791925166,117
43.782,-79.4713,-0.6109079172188803,9
40.8054,-74.0241,-0.14772351317109608,24
43.652,-79.3633,-0.6109079172188803,9
43.6446,-79.3842,-0.3947551953299143,16
43.6509,-79.362,-0.6109079172188803,9
43.6447,-79.3841,-0.48739207613947116,13
50.1109,8.68213,2.291714348147234,103
43.6736,-79.4035,-0.4565131158696189,14
43.6532,-79.3832,0.5624925730355064,47
50.1109,8.68213,2.260835387877382,102
43.652,-79.3633,-0.6109079172188803,9
40.8054,-74.0241,-0.14772351317109608,24
43.6934,-79.4857,-0.5182710364093235,12
40.8302,-74.1299,-0.17860247344094837,23
40.8302,-74.1299,-0.20948143371080064,22
51.4742,-0.0797189,2.1064405865281204,97
43.5148,-79.884,-0.36387623506006206,17
50.1109,8.68213,2.260835387877382,102
51.4742,-0.0797189,2.0755616262582683,96
45.5029,-73.5723,-0.14772351317109608,24
40.8302,-74.1299,-0.17860247344094837,23
43.623,-79.3936,2.940172513814132,124
51.4742,-0.0797189,2.0755616262582683,96
43.623,-79.3936,0.3154608908766881,39
25.7617,-80.1918,0.6551294538450632,50
43.6532,-79.3832,0.3772188114163927,41
43.6496,-79.3833,-0.580028956949028,10
43.7081,-79.4479,-0.17860247344094837,23
43.7795,-79.4895,-0.20948143371080064,22
45.0292,-74.7316,-0.20948143371080064,22
43.6413,-79.6296,-0.580028956949028,10
43.623,-79.3936,2.9092935535442797,123
50.1109,8.68213,2.3225933084170864,104
43.623,-79.3936,2.754898752195018,118
43.623,-79.3936,2.754898752195018,118
43.6655,-79.4204,-0.580028956949028,10
43.652,-79.3633,-0.580028956949028,10
25.033,121.565,1.3344665797818134,72
12.8498,77.6545,7.016195269434633,256
43.623,-79.3936,2.8784145932744276,122
43.6486,-79.3817,0.22282401006713126,36
43.6655,-79.4204,-0.3947551953299143,16
43.6655,-79.4204,1.0256769770832908,62
43.7143,-79.4065,-0.3947551953299143,16
